file,filetime,mtime,ctime,atime,diff
X:\OneDrive\Pictures\Misc\Worth a photo\IMG_20210911_184125_edit_419800024363546.jpg,2021-09-11 18:41:25,2021-09-11 18:49:06,2021-09-12 20:44:21.631584,2022-09-17 21:39:56.456125,0:07:41
X:\OneDrive\Pictures\Laura ♥\IMG_20191127_174350.jpg,2019-11-27 17:43:50,2019-11-27 18:12:44,2021-06-15 23:10:15.947070,2022-09-17 21:39:46.801324,0:28:54
X:\OneDrive\Pictures\Laura ♥\IMG_20191127_174352.jpg,2019-11-27 17:43:52,2019-11-27 18:12:56,2021-06-15 23:10:16.707545,2022-09-17 21:39:46.780464,0:29:04
X:\OneDrive\Pictures\Chillin' with friends\Forbeyond\IMG_20200123_190239.jpg,2020-01-23 19:02:39,2020-01-23 19:36:03,2021-06-16 07:40:42.873049,2022-09-17 21:39:06.624794,0:33:24
X:\OneDrive\Pictures\Laura ♥\IMG_20190922_153152.jpg,2019-09-22 15:31:52,2019-09-22 16:05:20,2021-06-16 03:47:50.774064,2022-09-17 21:39:47.674268,0:33:28
X:\OneDrive\Pictures\Urlaub\[2017] Greece\IMG_20170813_113026.jpg,2017-08-13 11:30:26,2017-08-13 10:30:28,2021-06-16 03:16:21.627364,2022-09-17 21:41:29.890018,0:59:58
X:\OneDrive\Pictures\Urlaub\[2017] Greece\IMG_20170815_013311.jpg,2017-08-15 01:33:11,2017-08-15 00:33:13,2021-06-16 06:43:49.697831,2022-09-17 21:41:27.522825,0:59:58
X:\OneDrive\Pictures\Urlaub\[2017] Greece\IMG_20170816_181111.jpg,2017-08-16 18:11:11,2017-08-16 17:11:12,2021-06-16 04:42:12.010196,2022-09-17 21:41:26.907516,0:59:59
X:\OneDrive\Pictures\Urlaub\[2017] Greece\IMG_20170815_013326.jpg,2017-08-15 01:33:26,2017-08-15 00:33:26,2021-06-16 04:42:04.846352,2022-09-17 21:41:27.493142,1:00:00
X:\OneDrive\Pictures\Laura ♥\IMG_20201119_164124.jpg,2020-11-19 16:41:24,2020-11-19 17:41:28,2021-06-16 01:08:07.292076,2022-09-17 21:39:45.761850,1:00:04
X:\OneDrive\Pictures\Urlaub\[2019] Lissabon\IMG_20190804_214236.jpg,2019-08-04 21:42:36,2019-08-04 22:56:00,2021-06-16 07:17:42.108194,2022-09-17 21:41:55.857697,1:13:24
X:\OneDrive\Pictures\Urlaub\[2019] Lissabon\IMG_20190804_214224.jpg,2019-08-04 21:42:24,2019-08-04 22:56:00,2021-06-16 07:17:41.749155,2022-09-17 21:41:55.879129,1:13:36
X:\OneDrive\Pictures\Urlaub\[2019] Lissabon\IMG_20190804_214216.jpg,2019-08-04 21:42:16,2019-08-04 22:55:59,2021-06-16 07:17:40.130483,2022-09-17 21:41:55.901122,1:13:43
X:\OneDrive\Pictures\Urlaub\[2019] Lissabon\IMG_20190804_214051.jpg,2019-08-04 21:40:51,2019-08-04 22:55:58,2021-06-16 07:17:39.980882,2022-09-17 21:41:55.922888,1:15:07
X:\OneDrive\Pictures\Urlaub\[2019] Lissabon\IMG_20190804_214037.jpg,2019-08-04 21:40:37,2019-08-04 22:55:57,2021-06-16 07:17:39.890126,2022-09-17 21:41:55.944446,1:15:20
